Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
AARS	108	54	54	122	53	53	123	62	62	135	56	56	170	72	72	154	69	69	162	66	66	136	66	66	151	58	58	130	57	57	176	68	68	144	75	75	1711	116	116	16	HGNC:20	alanyl-tRNA synthetase	Homo sapiens	16	16q22.1	H3BPK7;NP_001596.2;P49588;P49588-2	CPTAC-1;CPTAC-2
AARS2	15	14	14	12	11	11	14	9	9	28	21	21	20	17	17	24	21	21	42	30	30	23	18	18	30	26	26	23	18	18	40	32	32	35	27	27	306	49	49	57505	HGNC:21022	alanyl-tRNA synthetase 2, mitochondrial	Homo sapiens	6	6p21.1	NP_065796.1;Q5JTZ9;XP_005249302.1;XP_011513066.1;XP_016866601.1	
AARSD1	5	4	4	8	7	7	7	6	6	12	10	10	12	10	10	6	6	6	14	10	10	10	9	9	10	6	6	11	11	11	9	9	9	8	6	6	112	18	18	80755	HGNC:28417	alanyl-tRNA synthetase domain containing 1	Homo sapiens	17	17q21.31	K7EQ85;K7N799;L7N2F4;NP_001248363.1;Q9BTE6;Q9BTE6-2;Q9BTE6-3	
AASDHPPT	13	7	7	9	5	5	10	10	10	14	10	10	19	13	13	12	11	11	14	11	11	13	9	9	12	10	10	11	10	10	14	10	10	19	12	12	160	22	22	60496	HGNC:14235	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Homo sapiens	11	11q22.3	E9PLW6;E9PNF3;NP_056238.2;Q9NRN7;Q9NRN7-2	
AASS	11	11	11	11	11	11	10	10	10	25	24	24	12	10	10	6	5	5	19	16	16	28	23	23	15	15	15	8	8	8	25	19	19	12	10	10	182	43	43	10157	HGNC:17366	aminoadipate-semialdehyde synthase	Homo sapiens	7	7q31.32	F8WAH1;F8WE53;NP_005754.2;Q9UDR5;XP_011514027.1	
AATF	9	7	7	9	7	7	11	9	9	13	10	10	10	8	8	8	8	8	13	12	12	10	8	8	10	10	10	10	10	9	11	10	9	16	11	11	130	28	27	26574	HGNC:19235	apoptosis antagonizing transcription factor	Homo sapiens	17	17q12	A0A087WTH8;A0A087WW41;A0A087WWS8;NP_036270.1;Q9NY61;XP_011522913.1	
ABAT	18	12	12	48	24	24	13	10	10	25	17	17	11	10	10	16	13	13	21	16	16	41	22	22	11	9	9	18	13	13	23	18	18	24	15	15	269	32	32	18	HGNC:23	4-aminobutyrate aminotransferase	Homo sapiens	16	16p13.2	H3BMJ9;H3BNQ7;H3BPW8;H3BRJ1;H3BRN4;H3BRT1;NP_000654.2;NP_001120920.1;NP_065737.2;P80404;XP_011520702.1;XP_011520703.1	CPTAC-3;CPTAC-4
ABCA1	3	3	3	1	1	1	3	3	3	2	2	2	4	4	4	6	6	6	9	9	9	5	5	5	2	2	2	2	2	2	2	2	2	9	9	9	48	25	25	19	HGNC:29	ATP binding cassette subfamily A member 1	Homo sapiens	9	9q31.1	B1AMI1;B1AMI2;NP_005493.2;O95477;XP_005251830.1;XP_005251833.1;XP_011516641.1;XP_011516642.1;XP_011516643.1;XP_011516644.1;XP_011516646.1;XP_016869867.1;XP_016869868.1;XP_016869869.1;XP_016869870.1;XP_016869871.1	
ABCA3	0	0	0	1	1	1	1	1	1	2	2	2	1	1	1	0	0	0	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	0	0	0	13	7	7	21	HGNC:33	ATP binding cassette subfamily A member 3	Homo sapiens	16	16p13.3	H0Y3H2;NP_001080.2;Q99758;Q99758-2	
ABCA6	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0	1	1	1	1	1	1	9	7	6	23460	HGNC:36	ATP binding cassette subfamily A member 6	Homo sapiens	17	17q24.2-q24.3	NP_525023.2;Q8N139;Q8N139-2;Q8N139-3;XP_011522876.1;XP_016879893.1;XP_016879894.1;XP_016879895.1;XP_016879896.1;XP_016879897.1	
ABCA8	6	5	5	15	13	13	10	9	9	12	10	10	4	4	4	3	3	3	6	6	6	5	5	4	26	21	21	7	7	7	4	4	4	13	12	12	111	36	35	10351	HGNC:38	ATP binding cassette subfamily A member 8	Homo sapiens	17	17q24.2	A0A075B774;A0A0A0MSU4;K7ELK9;NP_001275914.1;NP_001275915.1;NP_009099.1;O94911;O94911-2;O94911-3;Q49AI9;XP_005256995.1;XP_005256997.1;XP_011522493.1;XP_011522494.1	
ABCB10	7	5	4	9	8	7	12	10	9	10	8	7	10	9	8	7	6	5	18	14	13	13	10	9	17	13	12	14	9	8	10	9	8	20	16	15	147	25	24	23456	HGNC:41	ATP binding cassette subfamily B member 10	Homo sapiens	1	1q42.13	NP_036221.2;Q9NRK6;XP_011542437.1;XP_011542438.1	
ABCB4	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	2	2	2	0	0	0	3	3	2	1	1	0	1	1	0	3	3	3	14	5	4	5244	HGNC:45	ATP binding cassette subfamily B member 4	Homo sapiens	7	7q21.12	H7C0M2;NP_000434.1;NP_061337.1;NP_061338.1;P21439;P21439-2;P21439-3;XP_011514610.2;XP_011514611.2;XP_011514612.2;XP_011514613.2;XP_011514614.2;XP_011514615.1;XP_011514617.2;XP_016867812.1	
ABCB6	6	4	4	16	10	10	6	6	6	6	5	4	12	10	9	10	9	8	22	17	16	10	9	8	18	13	12	11	10	9	14	11	10	9	7	6	140	24	23	10058	HGNC:47	ATP binding cassette subfamily B member 6 (Langereis blood group)	Homo sapiens	2	2q35	H7BXK9;NP_001336757.1;NP_005680.1;Q9NP58;Q9NP58-4	
ABCB7	12	9	9	12	12	12	15	13	13	21	16	16	13	10	10	12	10	10	23	19	19	12	11	11	15	11	11	17	17	17	19	13	13	18	14	14	189	29	29	22	HGNC:48	ATP binding cassette subfamily B member 7	Homo sapiens	X	Xq13.3	A0A087WW65;B4DGL8;E9PJR8;E9PNQ5;NP_001258625.1;NP_001258626.1;NP_001258627.1;NP_001258628.1;NP_004290.2;O75027;O75027-2;O75027-3	
ABCB8	5	3	1	4	3	1	3	2	0	5	4	2	6	6	4	8	6	4	15	12	10	13	10	8	12	9	7	10	7	5	9	7	5	16	13	11	106	22	20	11194	HGNC:49	ATP binding cassette subfamily B member 8	Homo sapiens	7	7q36.1	C9JA03;C9JTY4;C9JYI3;F2Z2Z1;F2Z3G8;F8WC43;H7C5K9;NP_001269220.1;NP_001269221.1;NP_001269222.1;NP_009119.2;Q9NUT2;Q9NUT2-2;Q9NUT2-3;Q9NUT2-4;Q9NUT2-5	
ABCC1	24	21	18	18	17	15	18	16	14	33	31	29	24	20	18	23	19	17	39	34	32	20	17	14	28	22	19	20	18	16	30	26	25	28	22	18	305	55	51	4363	HGNC:51	ATP binding cassette subfamily C member 1	Homo sapiens	16	16p13.11	A0A0A0MS99;I3L4X2;NP_004987.2;P33527;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8;P33527-9;XP_011520799.1;XP_011520800.1;XP_016878726.1;XP_016878727.1;XP_016878728.1;XP_016878729.1;XP_016878730.1;XP_016878731.1;XP_016878732.1	
ABCC10	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	1	1	1	0	0	0	2	2	2	1	1	1	0	0	0	3	3	3	1	1	1	12	10	10	89845	HGNC:52	ATP binding cassette subfamily C member 10	Homo sapiens	6	6p21.1	D6R9B3;NP_001185863.1;NP_001337447.1;NP_258261.2;Q5T3U5;Q5T3U5-2;XP_011513276.2;XP_011513287.1;XP_011513288.1;XP_016866934.1;XP_016866935.1;XP_016866936.1;XP_016866937.1;XP_016866938.1;XP_016866939.1;XP_016866940.1;XP_016866941.1;XP_016866942.1;XP_016866943.1;XP_016866944.1;XP_016866945.1	
ABCC3	4	4	2	4	4	3	2	2	1	6	6	4	1	1	0	5	5	4	2	2	1	4	4	2	6	6	4	4	4	3	2	2	2	6	6	3	46	14	11	8714	HGNC:54	ATP binding cassette subfamily C member 3	Homo sapiens	17	17q21.33	H0Y8Q6;NP_001137542.1;NP_003777.2;O15438;O15438-2;O15438-4;O15438-5;XP_005257820.1;XP_011523724.1;XP_011523725.1;XP_011523726.1;XP_011523727.1;XP_016880754.1;XP_016880755.1	
ABCC4	15	13	11	17	14	12	12	11	9	29	25	22	23	19	17	18	16	14	35	28	26	35	24	22	16	12	10	25	17	16	24	18	17	27	24	21	276	44	41	10257	HGNC:55	ATP binding cassette subfamily C member 4	Homo sapiens	13	13q32.1	NP_001098985.1;NP_001288758.1;NP_001288759.1;NP_005836.2;O15439;O15439-2;O15439-3;O15439-4;XP_005254082.1;XP_016875808.1;XP_016875809.1;XP_016875810.1;XP_016875811.1	
ABCD1	4	3	3	7	5	5	6	4	4	8	6	5	9	8	7	9	7	6	9	8	7	7	7	5	3	3	3	5	4	3	6	6	6	17	14	12	90	20	18	215	HGNC:61	ATP binding cassette subfamily D member 1	Homo sapiens	X	Xq28	A6NEP8;NP_000024.2;P33897	
ABCD2	0	0	0	0	0	0	1	1	1	2	2	1	2	2	1	1	1	0	2	2	1	3	3	1	0	0	0	1	1	0	0	0	0	4	4	2	16	5	3	225	HGNC:66	ATP binding cassette subfamily D member 2	Homo sapiens	12	12q12	NP_005155.1;Q9UBJ2;XP_011536329.1;XP_016874481.1;XP_016874482.1;XP_016874483.1	
ABCD3	21	15	15	24	18	18	21	15	15	26	17	16	23	17	16	27	20	19	35	22	21	27	18	17	26	13	13	34	19	18	30	18	18	38	23	22	332	35	34	5825	HGNC:67	ATP binding cassette subfamily D member 3	Homo sapiens	1	1p21.3	NP_001116146.1;NP_002849.1;P28288;P28288-2;P28288-3;XP_006710865.2;XP_011540179.1;XP_016857441.1;XP_016857442.1;XP_016857443.1	CPTAC-157
ABCD4	1	1	1	1	1	1	0	0	0	1	1	1	2	2	2	0	0	0	4	4	4	2	2	2	2	2	2	4	3	3	2	1	1	2	2	2	21	10	10	5826	HGNC:68	ATP binding cassette subfamily D member 4	Homo sapiens	14	14q24.3	E9PI46;E9PPB6;G3V3W1;G3V4U7;H0YCY9;H0YJ78;H0YJ82;H0YJL8;NP_005041.1;O14678;XP_005267996.1;XP_005267997.1;XP_005267998.1;XP_005267999.1;XP_005268003.1;XP_005268006.1;XP_006720286.1;XP_011535343.1;XP_016877020.1;XP_016877021.1;XP_016877022.1;XP_016877023.1;XP_016877024.1;XP_016877025.1;XP_016877026.1;XP_016877027.1;XP_016877028.1;XP_016877029.1;XP_016877030.1;XP_016877031.1;XP_016877032.1;XP_016877033.1	
ABCE1	45	28	28	49	24	24	62	31	31	57	28	28	59	32	32	54	28	28	63	33	33	69	35	35	66	33	33	69	34	34	63	35	35	65	34	34	721	63	63	6059	HGNC:69	ATP binding cassette subfamily E member 1	Homo sapiens	4	4q31.21	D6R9I9;D6RGF4;H0Y990;NP_001035809.1;NP_002931.2;P61221	
ABCF1	38	25	25	38	26	26	61	33	33	45	29	29	54	34	33	50	30	28	63	34	32	47	29	28	64	33	33	45	26	26	68	39	39	71	38	37	644	66	64	23	HGNC:70	ATP binding cassette subfamily F member 1	Homo sapiens	6	6p21.33	A0A0G2JIC2;F5GYK6;H0YGW7;NP_001020262.1;NP_001081.1;Q5STZ8;Q8NE71;Q8NE71-2	CPTAC-301;CPTAC-302
ABCF2	18	14	14	12	12	12	24	17	17	23	18	18	34	22	22	24	17	17	23	18	18	28	20	20	28	19	19	31	24	24	35	19	19	31	23	23	311	41	41	10061	HGNC:71	ATP binding cassette subfamily F member 2	Homo sapiens	7	7q36.1	C9JHK9;C9JZV3;NP_005683.2;NP_009120.1;Q9UG63;Q9UG63-2;XP_016867128.1;XP_016867129.1	
ABCF3	26	19	19	23	18	18	22	18	18	28	19	19	23	21	21	30	22	22	29	22	22	19	16	16	31	21	21	25	21	21	27	21	21	30	22	22	313	44	44	55324	HGNC:72	ATP binding cassette subfamily F member 3	Homo sapiens	3	3q27.1	F8WCU6;NP_001338227.1;NP_001338228.1;NP_001338229.1;NP_060828.2;Q9NUQ8;Q9NUQ8-2	
ABHD10	26	18	18	29	16	16	38	24	24	31	20	20	27	19	19	31	18	18	32	18	18	35	21	21	33	18	18	29	16	16	33	17	17	49	30	30	393	42	42	55347	HGNC:25656	abhydrolase domain containing 10	Homo sapiens	3	3q13.2	NP_001258998.1;NP_060864.1;Q9NUJ1;Q9NUJ1-2;Q9NUJ1-3;XP_011511262.1	
ABHD11	37	21	20	43	19	18	37	20	19	52	19	18	46	29	28	48	26	25	53	27	26	38	19	18	34	18	17	37	20	19	51	23	22	66	32	31	542	45	44	83451	HGNC:16407	abhydrolase domain containing 11	Homo sapiens	7	7q11.23	C9J7Q4;H0YC52;H7BZ58;H7C396;NP_001138836.1;NP_001287987.1;NP_001308311.1;NP_001308312.1;NP_683710.1;NP_683711.1;Q8NFV4;Q8NFV4-2;Q8NFV4-3;Q8NFV4-4;Q8NFV4-5;Q8NFV4-6;XP_006716207.1;XP_011514892.1;XP_011514893.1	
ABHD12	13	9	9	12	11	11	17	14	14	14	11	11	18	13	13	17	13	13	30	19	19	17	11	11	14	13	13	20	16	16	19	15	15	22	14	14	213	29	29	26090	HGNC:15868	abhydrolase domain containing 12	Homo sapiens	20	20p11.21	I3L1V0;I3L206;I3L294;I3L380;I3L440;NP_001035937.1;NP_056415.1;Q5T712;Q8N2K0;Q8N2K0-2;Q8N2K0-3;XP_005260755.1;XP_011527516.1;XP_011527517.1;XP_011527520.1;XP_016883285.1;XP_016883286.1;XP_016883287.1	
ABHD14B	27	13	12	28	12	11	29	17	16	29	15	14	31	17	16	25	14	13	22	11	10	38	15	15	16	11	10	21	12	11	23	13	13	24	14	13	313	26	25	84836	HGNC:28235	abhydrolase domain containing 14B	Homo sapiens	3	3p21.2	B4DQI4;F8W9U3;NP_001139786.1;NP_001241682.1;NP_116139.1;Q96IU4;Q96IU4-2	
ABHD16A	19	15	15	20	15	15	19	16	16	31	23	23	22	16	16	22	19	19	28	21	21	20	18	18	22	17	17	29	20	20	38	26	26	38	23	23	308	38	38	7920	HGNC:13921	abhydrolase domain containing 16A	Homo sapiens	6	6p21.33	A0A0G2JI89;A0A0G2JJD3;F2Z3G6;F2Z3H2;NP_001170986.1;NP_066983.1;O95870;O95870-2	
ABHD17A	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	3	3	3	2	2	2	14	8	8	81926	HGNC:28756	abhydrolase domain containing 17A	Homo sapiens	19	19p13.3	K7ENJ6;K7EQ25;NP_001123583.1;NP_112490.3;Q96GS6;Q96GS6-2;Q96GS6-3;Q96GS6-4;XP_011526640.1;XP_016882830.1;XP_016882831.1	
ABHD4	1	1	1	2	2	2	1	1	1	0	0	0	2	2	2	1	1	1	3	3	3	0	0	0	1	1	1	2	2	2	3	3	3	4	4	4	20	6	6	63874	HGNC:20154	abhydrolase domain containing 4	Homo sapiens	14	14q11.2	F5H067;F5H6T0;H0YFD5;J3KMW0;NP_071343.2;Q8TB40;Q8TB40-2;XP_005268043.1	
ABHD5	4	2	2	3	3	3	0	0	0	6	4	4	3	3	3	1	1	1	2	1	1	2	2	2	3	3	3	4	3	2	3	2	2	2	2	2	33	11	10	51099	HGNC:21396	abhydrolase domain containing 5	Homo sapiens	3	3p21.33	C9J1D1;C9JBM3;H7BZY9;NP_057090.2;Q8WTS1;XP_011532081.1;XP_011532082.1	
ABI1	24	13	9	30	18	13	45	22	15	34	18	12	37	17	12	31	19	13	45	21	15	31	21	14	34	21	15	32	18	13	36	21	15	34	21	15	413	40	30	10006	HGNC:11320	abl interactor 1	Homo sapiens	10	10p12.1	A0A0A0MRT6;B6VEX4;NP_001012768.1;NP_001012769.1;NP_001012770.1;NP_001171587.1;NP_001171590.1;NP_001171591.1;NP_001171592.1;NP_001171593.1;NP_001171594.1;NP_001171595.1;NP_001171596.1;NP_001334958.1;NP_001334959.1;NP_001334960.1;NP_001334961.1;NP_001334962.1;NP_001334963.1;NP_005461.2;Q8IZP0;Q8IZP0-10;Q8IZP0-11;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9;XP_005252389.1;XP_005252390.1;XP_011517591.1;XP_016870948.1	
ABI2	11	7	3	13	8	3	16	7	0	17	13	7	17	9	4	15	11	5	13	11	5	19	16	9	20	12	6	17	10	5	16	12	6	25	15	9	199	26	16	10152	HGNC:24011	abl interactor 2	Homo sapiens	2	2q33.2	A0A0C4DG21;B7Z836;E7EP65;E7EUA1;E7EW77;E9PEZ7;F8WAL6;F8WAQ3;F8WAU3;F8WAZ8;F8WBL5;F8WCD7;F8WEB9;H0Y6B5;H7C3Q7;NP_001269854.1;NP_001269855.1;NP_001269856.1;NP_001269861.1;NP_005750.4;Q9NYB9;Q9NYB9-2;Q9NYB9-3;Q9NYB9-4;XP_005246274.1;XP_005246275.1;XP_005246278.1;XP_005246282.1;XP_005246283.1;XP_006712237.1;XP_006712240.1;XP_006712242.1;XP_006712243.1;XP_006712244.1;XP_006712245.1;XP_006712248.1;XP_006712249.1;XP_011508774.1;XP_011508775.1;XP_016858607.1;XP_016858608.1;XP_016858609.1;XP_016858610.1;XP_016858611.1;XP_016858612.1;XP_016858613.1;XP_016858614.1;XP_016858615.1;XP_016858616.1;XP_016858617.1;XP_016858618.1;XP_016858619.1;XP_016858620.1;XP_016858621.1;XP_016858622.1;XP_016858623.1;XP_016858624.1;XP_016858625.1;XP_016858626.1;XP_016858627.1;XP_016858628.1;XP_016858629.1;XP_016858630.1;XP_016858631.1;XP_016858632.1;XP_016858633.1;XP_016858634.1;XP_016858635.1	
ABI3	4	4	4	7	6	6	10	9	9	7	7	7	3	3	3	5	4	4	4	4	4	8	8	8	9	7	7	5	5	5	6	6	6	7	7	7	75	17	17	51225	HGNC:29859	ABI family member 3	Homo sapiens	17	17q21.32	I3L1X2;I3L3W4;NP_001128658.1;NP_057512.1;Q9P2A4;Q9P2A4-2;XP_005257486.1;XP_011523175.1;XP_016880210.1	
